id,sumscore,selected_priority,approval
4341893,100,1,N
4854670,100,1,Y
4861237,100,1,Y
4945621,100,1,N
5039247,100,1,N
5077123,100,1,Y
5181909,100,1,Y
4861682,80,1,Y
3700246,70,1,N
3963855,60,1,Y
4814669,50,1,Y
4678847,50,1,Y
5110268,50,1,Y
4990977,40,1,Y
4406360,40,1,Y
5059118,40,1,Y
4708352,40,1,Y
5089083,30,1,Y
4812827,30,1,Y
5092234,30,1,Y
4860409,30,1,Y
4771865,30,1,Y
5094065,30,1,Y
4407273,30,1,Y
5063547,30,1,Y
5161021,30,1,Y
4906948,30,1,Y
5110207,30,1,Y
4463196,30,1,Y
4630235,20,1,Y
4814314,10,1,Y
4442252,10,1,N
5095605,10,1,N
4038805,10,1,Y
5008036,10,1,N
4871679,10,1,N
4789684,10,1,N
5027685,0,1,N
5178898,0,1,Y
5015202,0,1,N
3639402,0,1,N
4530127,0,1,N
5107773,0,1,N
4813603,0,1,N
5152019,0,1,Y
4568407,0,1,N
4874881,0,1,N
5129391,0,1,N
4826106,0,1,N
4900177,0,1,N
4843274,0,1,Y
4809197,0,1,Y
4771795,0,1,N
4852072,0,1,Y
5002932,0,1,Y
4112743,0,1,Y
4266445,0,1,N
5059610,0,1,N
5177097,0,1,Y
5008584,0,1,Y
4012326,0,1,N
5154852,0,1,N
5028385,0,1,Y
4092598,0,1,N
4184322,0,1,N
5157094,0,1,N
5168324,0,1,Y
5150835,0,1,Y
5175356,0,1,Y
4756191,0,1,N
4034437,0,1,N
4351599,0,1,Y
4815233,0,1,N
4966769,0,1,N
5008126,0,1,N
4728981,0,1,N
4232167,100,2,Y
3966301,100,2,Y
4816532,40,2,Y
5124849,40,2,Y
4462109,40,2,Y
5033991,40,2,Y
4827703,40,2,Y
4809810,40,2,Y
4458527,30,2,Y
3816568,30,2,Y
4548426,30,2,Y
4637240,30,2,Y
4773203,30,2,Y
5101857,30,2,N
5043253,30,2,Y
000000039006,30,2,N
3851480,30,2,N
4513089,30,2,Y
3705868,30,2,Y
3879832,30,2,Y
5060796,30,2,Y
5177347,30,2,N
3966218,25,2,Y
3975395,20,2,Y
4771708,20,2,Y
4677388,10,2,N
4888789,10,2,Y
4109686,10,2,Y
5109928,10,2,Y
4518664,10,2,Y
4993986,0,2,Y
5151529,0,2,N
4772515,0,2,Y
5152026,0,2,Y
4872072,0,2,Y
3612925,0,2,N
5078706,0,2,N
5099374,0,2,N
5183774,0,2,Y
4665713,0,2,N
5125252,0,2,Y
4284797,0,2,Y
5113122,0,2,N
4971757,0,2,Y
5100571,0,2,Y
5052777,0,2,N
4771792,0,2,Y
5089158,0,2,Y
4951215,0,2,N
5140011,0,2,Y
3824987,0,2,Y
5152124,0,2,Y
4969122,0,2,N
4422213,0,2,N
4786256,0,2,Y
3695739,0,2,Y
5128222,0,2,Y
4127800,100,3,Y
5008652,100,3,Y
4488161,90,3,Y
4968413,90,3,Y
3664343,70,3,Y
5078612,50,3,Y
5022374,50,3,Y
4731052,40,3,Y
4915383,30,3,Y
5030451,30,3,Y
4985363,30,3,Y
5107515,30,3,Y
5036361,30,3,Y
3851242,30,3,Y
4900822,30,3,Y
4945731,20,3,Y
5057912,10,3,Y
4574992,0,3,Y
5037000,0,3,Y
4285971,0,3,N
4774430,0,3,Y
5078136,0,3,N
4959449,0,3,N
4946446,0,3,Y
4898651,0,3,N
4483871,0,3,N
4592540,0,3,Y
4112397,0,3,N
5047504,0,3,Y
4898827,0,3,N
4872064,0,3,N
4483868,0,3,N
4943097,0,3,N
4871704,0,3,N
4481852,100,4,Y
4142692,70,4,Y
4976103,40,4,Y
4658199,30,4,N
5060435,30,4,Y
4689320,30,4,Y
4889764,30,4,Y
4945617,30,4,Y
5129020,10,4,N
4871458,10,4,Y
5073293,10,4,Y
4954942,0,4,Y
4610203,0,4,N
4991578,0,4,Y
5146667,0,4,N
5045454,0,4,N
4366099,0,4,Y
4901008,0,4,Y
5127204,0,4,N
4039545,0,4,N
5030288,0,4,N
5008294,0,4,Y
4655034,0,4,N
4893372,0,4,Y
5055216,0,4,Y
4911368,0,4,Y
5063135,0,4,N
4846881,0,4,Y
5163664,0,4,N
4922711,40,5,Y
4772172,40,5,Y
5036383,30,5,Y
5012301,10,5,N
4681634,0,5,Y
4991448,0,5,Y
4991334,0,5,Y
5004615,0,5,N
4384174,0,5,N
5082844,0,5,Y
5127289,0,5,N
4038286,0,5,Y
4111883,0,5,Y
4726896,0,5,Y
5163024,0,5,N
4972447,100,6,Y
4522586,10,6,Y
5045547,0,6,N
4885800,0,6,N
4886190,0,6,N
4285972,0,6,N
4886189,0,6,N
4991024,0,6,Y
5061031,0,6,Y
4730381,70,7,Y
4940999,30,7,N
3825195,0,7,Y
4772552,0,7,Y
5019208,0,7,Y
3833048,0,7,Y
5060757,0,7,Y
5142009,0,8,N
5111135,30,9,Y
4993994,30,9,Y
4985276,0,9,Y
5078368,0,9,Y
4302409,10,11,Y
4463548,10,11,Y
5127544,100,14,Y
4810043,0,14,Y
5164748,0,14,N
4812709,0,18,Y
5156873,20,25,Y
4877288,0,26,N
4898163,0,48,N
