id,sumscore,selected_priority,approval
3966301,100,1,Y
3650130,100,1,Y
4845600,40,1,Y
4680950,40,1,Y
4461955,40,1,Y
5037487,40,1,Y
4816532,40,1,Y
4987614,30,1,Y
4945617,30,1,Y
3816568,30,1,Y
4689320,30,1,Y
5182047,20,1,Y
4518664,10,1,Y
5107310,10,1,Y
4407234,10,1,Y
5057912,10,1,Y
3695739,0,1,Y
4422213,0,1,N
4886190,0,1,N
4951215,0,1,N
4877288,0,1,N
5055216,0,1,Y
4886189,0,1,N
4993986,0,1,Y
5152026,0,1,Y
5045454,0,1,N
4959449,0,1,N
5099374,0,1,N
5045547,0,1,N
4659262,0,1,Y
4992124,0,1,Y
4772515,0,1,Y
4943097,0,1,N
3663589,0,1,Y
4483868,0,1,N
4885800,0,1,N
4284797,0,1,Y
4463861,0,1,Y
3766571,0,1,Y
4901008,0,1,Y
4945621,100,2,N
4968413,90,2,Y
5060435,30,2,Y
3564678,30,2,Y
4915383,30,2,Y
5033546,30,2,Y
4846875,10,2,Y
4561228,10,2,N
4728981,0,2,N
4530127,0,2,N
4842606,0,2,Y
4285971,0,2,N
4965774,0,2,N
4900177,0,2,N
4586285,0,2,Y
4086596,0,2,N
5163456,0,2,Y
4946446,0,2,Y
4815233,0,2,N
3639402,0,2,N
4266445,0,2,N
4811708,0,2,N
4811269,100,3,Y
4609947,30,3,Y
5089083,30,3,Y
4860409,30,3,Y
5162893,30,3,Y
4371434,10,3,N
4675364,10,3,Y
4411697,10,3,N
5008036,10,3,N
4109686,10,3,Y
5082844,0,3,Y
4232055,0,3,Y
4991448,0,3,Y
4184322,0,3,N
4991334,0,3,Y
4676917,0,3,N
4991024,0,3,Y
3612925,0,3,N
5004615,0,3,N
4708352,40,4,Y
4607300,40,4,Y
5099524,40,4,Y
5110207,30,4,Y
5112244,30,4,Y
5107515,30,4,Y
4442252,10,4,N
4771792,0,4,Y
4574992,0,4,Y
4843274,0,4,Y
4898651,0,4,N
3824987,0,4,Y
4483871,0,4,N
5147910,0,4,N
4786256,0,4,Y
5142009,0,4,N
4568407,0,4,N
4038286,0,4,Y
4384174,0,4,N
5113122,0,4,N
4112397,0,4,N
4923866,0,4,Y
4771865,30,5,Y
4630235,20,5,Y
4110058,10,5,Y
4811414,10,5,Y
5107773,0,5,N
4285972,0,5,N
4874881,0,5,N
4911368,0,5,Y
5047504,0,5,Y
5151529,0,5,N
4756191,0,5,N
4351599,0,5,Y
5043253,30,6,Y
4920448,0,6,N
5163199,0,6,Y
4991578,0,6,Y
4852072,0,6,Y
5002932,0,6,Y
4681634,0,6,Y
4726896,0,6,Y
4990977,40,7,Y
4614995,40,7,Y
4548426,30,7,Y
4812827,30,7,Y
4522586,10,7,Y
5037000,0,7,Y
4730381,70,8,Y
5019208,0,8,Y
3833048,0,8,Y
4881929,0,9,Y
4898827,0,9,N
5060796,30,10,Y
5078368,0,10,Y
4463548,10,12,Y
3825195,0,12,Y
5127544,100,15,Y
5164748,0,15,N
4812709,0,17,Y
4940999,30,20,N
5156873,20,24,Y
