id,sumscore,selected_priority,approval
5036363,100,1,Y
4786105,100,1,Y
3664343,70,1,Y
4606124,40,1,Y
4606117,40,1,Y
5033546,30,1,Y
5045250,30,1,Y
5102436,30,1,N
4900822,30,1,Y
3564678,30,1,Y
4871704,0,1,N
4681634,0,1,Y
5163456,0,1,Y
5173074,0,1,Y
5146667,0,1,N
4275357,0,1,N
5099393,0,1,N
4384174,0,1,N
5183774,0,1,Y
4810043,0,1,Y
5103958,0,1,Y
4665713,0,1,N
4586285,0,1,Y
4142692,70,2,Y
5022374,50,2,Y
5078612,50,2,Y
4814669,50,2,Y
5099375,40,2,Y
4708352,40,2,Y
4985363,30,2,Y
3851242,30,2,Y
4889764,30,2,Y
5092234,30,2,Y
5111135,30,2,Y
5089083,30,2,Y
5161021,30,2,Y
4407273,30,2,Y
4411697,10,2,N
5107310,10,2,Y
5036380,10,2,Y
5095605,10,2,N
5073293,10,2,Y
4986593,10,2,Y
4774430,0,2,Y
5059610,0,2,N
4842475,0,2,N
5027685,0,2,N
5004615,0,2,N
4943097,0,2,N
5015202,0,2,N
4991578,0,2,Y
4351599,0,2,Y
5028385,0,2,Y
4771795,0,2,N
5052273,0,2,Y
4874881,0,2,N
5163024,0,2,N
4112743,0,2,Y
5069728,0,2,Y
5082844,0,2,Y
4659262,0,2,Y
5037000,0,2,Y
4676917,0,2,N
4034437,0,2,N
5135436,0,2,Y
4945621,100,3,N
4893365,55,3,N
4678847,50,3,Y
4809810,40,3,Y
5124849,40,3,Y
4845600,40,3,Y
4945617,30,3,Y
5043253,30,3,Y
5048070,30,3,Y
5110207,30,3,Y
5036383,30,3,Y
5112244,30,3,Y
4801697,30,3,Y
5177347,30,3,N
5130596,30,3,Y
4630235,20,3,Y
3975395,20,3,Y
4518664,10,3,Y
5092316,10,3,N
4814314,10,3,Y
4522586,10,3,Y
4923866,0,3,Y
4901008,0,3,Y
5127204,0,3,N
5128222,0,3,Y
5100571,0,3,Y
5099374,0,3,N
5164528,0,3,Y
4786256,0,3,Y
5154852,0,3,N
4772515,0,3,Y
5055216,0,3,Y
4985377,0,3,Y
5030288,0,3,N
4610203,0,3,N
5113122,0,3,N
4842562,0,3,Y
4985357,0,3,Y
4811708,0,3,N
4852072,0,3,Y
4992124,0,3,Y
5164524,0,3,Y
4993986,0,3,Y
4771792,0,3,Y
4756191,0,3,N
5181866,0,3,Y
4946465,0,3,Y
4842572,0,3,Y
5125252,0,3,Y
3966301,100,4,Y
5110268,50,4,Y
5059118,40,4,Y
4731052,40,4,Y
5045505,30,4,Y
5101857,30,4,N
000000039006,30,4,N
3918203,30,4,Y
3816568,30,4,Y
4609947,30,4,Y
5109928,10,4,Y
5057912,10,4,Y
4789684,10,4,N
4900177,0,4,N
4925561,0,4,N
5078136,0,4,N
5125415,0,4,Y
4483868,0,4,N
3805837,0,4,Y
4946446,0,4,Y
5061031,0,4,Y
4991334,0,4,Y
4872064,0,4,N
4813603,0,4,N
4809197,0,4,Y
4966769,0,4,N
4971757,0,4,Y
4285971,0,4,N
4111883,0,4,Y
5047504,0,4,Y
5060757,0,4,Y
4422213,0,4,N
4991448,0,4,Y
4815233,0,4,N
4972447,100,5,Y
3650130,100,5,Y
4976103,40,5,Y
4812827,30,5,Y
5094065,30,5,Y
4658199,30,5,N
5075364,30,5,Y
5107515,30,5,Y
4677388,10,5,N
4728981,0,5,N
4898651,0,5,N
5008294,0,5,Y
5168324,0,5,Y
5002932,0,5,Y
5019208,0,5,Y
5052777,0,5,N
4951215,0,5,N
4872072,0,5,Y
4772552,0,5,Y
4954942,0,5,Y
4112397,0,5,N
4922903,90,6,Y
4406360,40,6,Y
4772172,40,6,Y
4922711,40,6,Y
4990977,40,6,Y
5039117,30,6,Y
3879832,30,6,Y
4483871,0,6,N
4911368,0,6,Y
5060796,30,7,Y
5107773,0,7,N
4991024,0,7,Y
4968415,0,7,N
4574992,0,7,Y
4614995,40,8,Y
4637240,30,8,Y
4886189,0,8,N
3639402,0,8,N
4886190,0,8,N
4898827,0,8,N
4885800,0,8,N
4548426,30,9,Y
3825195,0,9,Y
5142009,0,9,N
4812709,0,9,Y
3833048,0,10,Y
4985276,0,11,Y
5045454,0,12,N
5045547,0,12,N
5127544,100,17,Y
5164748,0,17,N
5156873,20,22,Y
4877288,0,25,N
4898163,0,50,N
