id,sumscore,selected_priority,approval
5164528,40,1,Y
4462109,40,1,Y
5099524,40,1,Y
4386584,30,1,Y
3975395,20,1,Y
4771708,20,1,Y
5097363,10,1,Y
5008045,0,1,N
4875826,0,1,N
5181866,0,1,Y
5127289,0,1,N
4811257,0,1,Y
5119597,0,1,Y
5164524,0,1,Y
4990938,0,1,Y
5033842,0,1,Y
5128222,0,1,Y
5069728,0,1,Y
5082844,0,1,Y
4505766,0,1,N
4835099,0,1,N
4925561,0,1,N
4946465,0,1,Y
4985357,0,1,Y
3824987,0,1,Y
5078706,0,1,N
4985377,0,1,Y
5036363,100,2,Y
4786105,100,2,Y
4678847,50,2,Y
5037487,40,2,Y
4771865,30,2,Y
5048070,30,2,Y
4609947,30,2,Y
4630235,20,2,Y
4814314,10,2,Y
4522586,10,2,Y
4726896,0,2,Y
4756191,0,2,N
4111883,0,2,Y
4991024,0,2,Y
5177097,0,2,Y
5002932,0,2,Y
5008126,0,2,N
5063135,0,2,N
4568407,0,2,N
5008294,0,2,Y
5093666,0,2,Y
5142009,0,2,N
4483871,0,2,N
4481852,100,3,Y
4861682,80,3,Y
5110268,50,3,Y
4814669,50,3,Y
4827703,40,3,Y
5059118,40,3,Y
5094065,30,3,Y
5045379,30,3,N
4968411,30,3,Y
4888789,10,3,Y
5168324,0,3,Y
5125415,0,3,Y
5110470,0,3,N
4813603,0,3,N
5028385,0,3,Y
4284797,0,3,Y
5019208,0,3,Y
5052777,0,3,N
4810043,0,3,Y
5103958,0,3,Y
4280629,0,3,N
5061031,0,3,Y
4201015,0,3,Y
5060757,0,3,Y
5099393,0,3,N
5008652,100,4,Y
4127800,100,4,Y
4488161,90,4,Y
4990977,40,4,Y
4812827,30,4,Y
4458527,30,4,Y
4677388,10,4,N
4109686,10,4,Y
4351599,0,4,Y
4874881,0,4,N
4842572,0,4,Y
4086596,0,4,N
4842562,0,4,Y
4681634,0,4,Y
4969122,0,4,N
5151529,0,4,N
4034437,0,4,N
5015202,0,4,N
4665713,0,4,N
5175356,0,4,Y
4968415,0,4,N
5107773,0,4,N
5022374,50,5,Y
4871704,40,5,N
5060796,30,5,Y
4985363,30,5,Y
4689320,30,5,Y
5036361,30,5,Y
5073293,10,5,Y
5057912,10,5,Y
4885800,0,5,N
4886189,0,5,N
5135436,0,5,Y
4886190,0,5,N
5157094,0,5,N
5055216,0,5,Y
5099374,0,5,N
4530127,0,5,N
5125252,0,5,Y
4285971,0,5,N
4898827,0,5,N
4811414,10,6,Y
4898651,0,6,N
4966769,0,6,N
5163024,0,6,N
3825195,0,6,Y
5037000,0,6,Y
4901008,0,6,Y
5127544,100,7,Y
5111135,30,7,Y
4943097,0,7,N
4406360,40,8,Y
5107515,30,8,Y
4911368,0,8,Y
4815233,0,8,N
4574992,0,8,Y
5045454,0,8,N
5045547,0,8,N
4637240,30,11,Y
4812709,0,19,Y
4940999,30,25,N
4898163,0,31,N
5164748,0,89,N
