id,sumscore,selected_priority,approval
4740319,70,1,N
5127152,60,1,Y
4992070,60,1,Y
4284180,60,1,N
4887920,60,1,Y
5022374,50,1,Y
000000039006,30,1,N
5036361,30,1,Y
4513089,30,1,Y
5060435,30,1,Y
5043253,30,1,Y
4889764,30,1,Y
3851480,30,1,N
3851242,30,1,Y
5101857,30,1,N
4458527,30,1,Y
4985363,30,1,Y
4680158,10,1,N
4689681,10,1,N
4109686,10,1,Y
4522586,10,1,Y
5092316,10,1,N
5036380,10,1,Y
4991578,0,1,Y
4991334,0,1,Y
5004615,0,1,N
4923866,0,1,Y
5037000,0,1,Y
4676917,0,1,N
4969122,0,1,N
5113122,0,1,N
5100571,0,1,Y
4842606,0,1,Y
4774430,0,1,Y
5063135,0,1,N
5142009,0,1,N
4991148,0,1,N
4991024,0,1,Y
4771792,0,1,Y
4842475,0,1,N
5184895,0,1,N
4377355,0,1,N
4898651,0,1,N
4971757,0,1,Y
5125252,0,1,Y
4861237,100,2,Y
4341893,100,2,N
3664343,70,2,Y
4893365,55,2,N
5110268,50,2,Y
4995439,50,2,Y
5099524,40,2,Y
4845600,40,2,Y
4606117,40,2,Y
4990977,40,2,Y
4606124,40,2,Y
5036383,30,2,Y
4968411,30,2,Y
5063193,30,2,Y
5162893,30,2,Y
4812827,30,2,Y
4860409,30,2,Y
5160711,30,2,Y
4945617,30,2,Y
5052691,30,2,N
4900822,30,2,Y
5063404,10,2,N
5008036,10,2,N
4442252,10,2,N
4811414,10,2,Y
4371434,10,2,N
4275357,0,2,N
4901008,0,2,Y
5127204,0,2,N
5019208,0,2,Y
3736964,0,2,N
5008045,0,2,N
4946465,0,2,Y
4992124,0,2,Y
4811257,0,2,Y
4985377,0,2,Y
4985357,0,2,Y
4991448,0,2,Y
4872064,0,2,N
4842572,0,2,Y
4681634,0,2,Y
4842562,0,2,Y
5047504,0,2,Y
4786105,100,3,Y
4142692,70,3,Y
4708352,40,3,Y
4976103,40,3,Y
4773203,30,3,Y
4987614,30,3,Y
4900496,30,3,Y
5092234,30,3,Y
3816568,30,3,Y
5045250,30,3,Y
4689320,30,3,Y
5033546,30,3,Y
5173882,30,3,Y
5073293,10,3,Y
4871679,10,3,N
5107310,10,3,Y
5097363,10,3,Y
4771795,0,3,N
4092598,0,3,N
4351599,0,3,Y
4384174,0,3,N
5151529,0,3,N
3824987,0,3,Y
5135436,0,3,Y
5002932,0,3,Y
4809197,0,3,Y
4875826,0,3,N
4951215,0,3,N
4728981,0,3,N
4812709,0,3,Y
4086596,0,3,N
4285972,0,3,N
5127289,0,3,N
4283841,0,3,Y
4111883,0,3,Y
4886190,0,3,N
4886189,0,3,N
4885800,0,3,N
5008294,0,3,Y
4568407,0,3,N
4965774,0,3,N
5175356,0,3,Y
4463270,0,3,Y
4900177,0,3,N
4505766,0,3,N
5008584,0,3,Y
4968415,0,3,N
5069728,0,3,Y
4112743,0,3,Y
4809810,40,4,Y
5094065,30,4,Y
4771865,30,4,Y
5089083,30,4,Y
3879832,30,4,Y
4801697,30,4,Y
5177347,30,4,N
4630235,20,4,Y
5154852,0,4,N
4726896,0,4,Y
4772515,0,4,Y
4659262,0,4,Y
5052273,0,4,Y
5168324,0,4,Y
5163024,0,4,N
5152026,0,4,Y
4615913,0,4,N
4852072,0,4,Y
4898827,0,4,N
5082844,0,4,Y
5099374,0,4,N
4959449,0,4,N
4530127,0,4,N
3963855,60,5,Y
5078612,50,5,Y
5059118,40,5,Y
4548426,30,5,Y
5109928,10,5,Y
4943097,0,5,N
4815233,0,5,N
4422213,0,5,N
5078136,0,5,N
4966769,0,5,N
4375183,0,5,Y
5146667,0,5,N
5061031,0,5,Y
4834988,0,5,Y
4483868,0,5,N
4574992,0,5,Y
5060757,0,5,Y
5028385,0,5,Y
4946446,0,5,Y
4842563,100,6,Y
5060796,30,6,Y
4677388,10,6,N
4786256,0,6,Y
5163664,0,6,N
4285971,0,6,N
4772552,0,6,Y
5052777,0,6,N
4112397,0,6,N
3650130,100,7,Y
4772172,40,7,Y
4922711,40,7,Y
5039117,30,7,Y
4872072,0,7,Y
4945621,100,8,N
4940999,30,8,N
4483871,0,8,N
4756191,0,8,N
4406360,40,9,Y
5107773,0,10,N
3825195,0,10,Y
3833048,0,11,Y
5045547,0,14,N
5045454,0,14,N
4810043,0,16,Y
5127544,100,19,Y
5164748,0,19,N
5156873,20,20,Y
4877288,0,24,N
4898163,0,52,N
